symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
gen,2023-03-31,16.790000915527344,17.200000762939453,16.700000762939453,17.15999984741211,4059600,17.15999984741211,0.0,0.0,21.270000457763672,17.425600090026855,19.583455562591553,20.864928731918337,-1.5241956732770168,-12.3750157750951,-6.141756752643191,-15.03555054472894
gild,2023-03-31,81.63999938964844,83.13999938964844,81.19000244140625,82.97000122070312,7135600,82.97000122070312,0.0,0.0,85.48999786376953,79.63789398193359,81.5590721130371,82.9926016998291,4.184072521462521,1.729947473789965,-1.7272980451641187,-0.4489597370830561
gis,2023-03-31,85.25,85.54000091552734,84.8499984741211,85.45999908447266,3069500,85.45999908447266,0.0,0.0,86.30999755859375,81.07399993896485,79.1616000366211,81.04461372375488,5.409871412302013,7.956381686244147,-2.323428542151044,7.728621649992621
gl,2023-03-31,109.95999908447266,110.19999694824219,109.12000274658203,110.0199966430664,476600,110.0199966430664,0.225,0.0,123.41000366210938,112.49359497070313,116.39084838867187,116.84426277160645,-2.198879259108863,-5.473670682707668,-0.3880501893540668,-6.598106387455459
glw,2023-03-31,35.0,35.380001068115234,34.93000030517578,35.279998779296875,4261600,35.279998779296875,0.0,0.0,36.0099983215332,33.84,34.497769622802736,33.91838968276978,4.2553155416574215,2.267477477665955,1.7081587464845867,-0.7446658817891774
gm,2023-03-31,36.27000045776367,36.720001220703125,36.130001068115234,36.68000030517578,10867100,36.68000030517578,0.0,0.0,43.16999816894531,36.49074340820312,38.15279083251953,37.778463745117186,0.5186435772369419,-3.860243235701684,0.9908478278202184,-7.201242242297883
gnrc,2023-03-31,108.0,109.5,103.11000061035156,108.01000213623047,3560300,108.01000213623047,0.0,0.0,128.77000427246094,115.28320037841797,117.73079986572266,109.46399993896485,-6.308983631884938,-8.256800888619804,7.552071851354994,-6.226801077295372
goog,2023-03-31,101.70999908447266,104.19000244140625,101.44000244140625,104.0,28086500,104.0,0.0,0.0,107.51000213623047,97.89000030517577,98.0068002319336,95.62570022583007,6.2416995359853615,6.115085640877435,2.4900209885839337,4.824151719112053
googl,2023-03-31,101.30000305175781,103.88999938964844,101.04000091552734,103.7300033569336,36823200,103.7300033569336,0.0,0.0,106.58999633789062,97.41240020751952,97.41400009155274,95.11370018005371,6.485419860259635,6.4836709912793635,2.418473792045176,5.041110202134127
gpc,2023-03-31,165.02000427246094,167.44000244140625,165.02000427246094,167.30999755859375,799000,167.30999755859375,0.0,0.0,181.3699951171875,165.6511474609375,167.95644653320312,172.09639465332032,1.001411775941626,-0.38489083804328683,-2.4055984022541073,-2.9826129745179775
